[2026-02-10T21:07:45.555+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-10T21:07:51.344+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143607636983.parquet -> /tmp/minio_downloads/accounts_143607636983.parquet
[2026-02-10T21:07:51.378+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143607727007.parquet -> /tmp/minio_downloads/accounts_143607727007.parquet
[2026-02-10T21:07:51.403+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143607838206.parquet -> /tmp/minio_downloads/accounts_143607838206.parquet
[2026-02-10T21:07:51.431+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143607986140.parquet -> /tmp/minio_downloads/accounts_143607986140.parquet
[2026-02-10T21:07:51.469+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143610661629.parquet -> /tmp/minio_downloads/accounts_143610661629.parquet
[2026-02-10T21:07:51.488+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143610771360.parquet -> /tmp/minio_downloads/accounts_143610771360.parquet
[2026-02-10T21:07:51.504+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143610869890.parquet -> /tmp/minio_downloads/accounts_143610869890.parquet
[2026-02-10T21:07:51.520+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143610975411.parquet -> /tmp/minio_downloads/accounts_143610975411.parquet
[2026-02-10T21:07:51.537+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143611090730.parquet -> /tmp/minio_downloads/accounts_143611090730.parquet
[2026-02-10T21:07:51.619+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143611223368.parquet -> /tmp/minio_downloads/accounts_143611223368.parquet
[2026-02-10T21:07:51.667+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143611340618.parquet -> /tmp/minio_downloads/accounts_143611340618.parquet
[2026-02-10T21:07:51.686+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143611903760.parquet -> /tmp/minio_downloads/accounts_143611903760.parquet
[2026-02-10T21:07:51.728+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143612051143.parquet -> /tmp/minio_downloads/accounts_143612051143.parquet
[2026-02-10T21:07:51.775+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143612163875.parquet -> /tmp/minio_downloads/accounts_143612163875.parquet
[2026-02-10T21:07:51.807+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143612287845.parquet -> /tmp/minio_downloads/accounts_143612287845.parquet
[2026-02-10T21:07:51.876+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143612384686.parquet -> /tmp/minio_downloads/accounts_143612384686.parquet
[2026-02-10T21:07:51.910+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143612500792.parquet -> /tmp/minio_downloads/accounts_143612500792.parquet
[2026-02-10T21:07:51.937+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143614948730.parquet -> /tmp/minio_downloads/accounts_143614948730.parquet
[2026-02-10T21:07:51.971+0000] {logging_mixin.py:188} INFO - Downloaded accounts/date=2026-02-10/accounts_143615085138.parquet -> /tmp/minio_downloads/accounts_143615085138.parquet
